symbol,name,item_type,horizon,status,thesis,key_levels,trigger,invalidation,next_check,notes
002465.XSHE,海格通信,stock,long+mid,watching,卫星通信/地面设备/军工通信中军，承接卫星互联网应用侧,平台高点/20日线,卫星通信池放量共振,通信军工退潮且跌破平台,2026-06-24,地面通信
300045.XSHE,华力创通,stock,mid+short,watching,卫星导航/通信高弹性题材票，适合事件驱动但波动大,前高/5日线/10日线,卫星互联网/北斗商业航天消息带动放量突破,高位放量滞涨或跌破10日线,2026-06-24,应用弹性
300762.XSHE,上海瀚讯,stock,mid,watching,军工通信/卫星通信映射，偏应用和地面链,平台高点/20日线,卫星通信板块出现核心股带动,题材退潮且不承接,2026-06-24,通信链
001270.XSHE,铖昌科技,stock,mid,watching,相控阵/T-R芯片，卫星通信载荷和雷达链映射,前高/20日线,卫星载荷/相控阵方向放量突破,高估值回落且板块退潮,2026-06-24,载荷芯片
688270.XSHG,臻镭科技,stock,mid,watching,射频芯片/终端芯片，卫星互联网载荷链映射,平台高点/20日线,卫星互联网载荷链共振,放量跌破平台,2026-06-24,射频芯片
002202.XSHE,金风科技,stock,long+mid,watching,用户线索：金风科技/金风投资体系入股蓝箭航天；若经年报/工商穿透确认，属于蓝箭航天股权映射优先标的，同时具备高端制造与新能源装备属性,平台高点/20日线/成交额放大,蓝箭朱雀三号发射或回收节点升温且金风科技放量异动,无法在公告/年报/工商穿透确认或市场不认可,2026-06-24,股权/投资人映射；优先核实
02208.XHKG,金风科技H股,stock,long,watching,金风科技港股同一主体映射；A股002202流动性和交易关注度优先,港股平台/20日线,蓝箭航天事件催化且AH联动,港股无承接或A股不跟随,2026-06-24,港股映射
600282.XSHG,南钢股份,stock,long+mid,watching,星际荣耀早期融资曾披露南京钢铁参与认购；同时具备高端钢材/制造业属性，属于股权投资人弱映射,平台高点/20日线,星际荣耀双曲线三号/回收船/复用工厂事件升温且南钢股份放量跟随,仅凭参股消息但股价无承接或钢铁主业拖累,2026-06-24,股权/投资人映射；需核实最新持股穿透
00656.XHKG,复星国际,stock,long,watching,星际荣耀早期融资曾披露复星集团参与；港股平台，更多是投资人映射而非A股交易主线,港股平台区间/20日线,星际荣耀重大节点叠加复星资本市场认知提升,港股流动性/主业因素压制且无事件承接,2026-06-24,港股；股权映射弱于产业链
CMBC_INTL,民银国际,theme,long,watching,深蓝航天融资曾披露民银国际领投；属于金融投资人线索，非直接A股标的,深蓝航天星云一号/融资进展/投资方公告,深蓝航天发射或回收节点升温且可找到可交易映射平台,无法映射到可交易标的或无市场认可,2026-06-24,非上市/金融投资人线索
UNVERIFIED_ROCKET_INVESTORS,火箭公司投资人待核实池,theme,long,watching,蓝箭航天/天兵科技/星河动力等融资方多为基金或非上市平台，需持续穿透是否存在上市公司直接或间接参股,融资公告/工商穿透/上市公司互动易或年报,出现明确上市公司持股或基金穿透到上市平台,仅为传闻或基金LP关系过远,2026-06-24,弱映射；不得直接交易
